コード,社名,業種,環境,規模
1332,日本水産,卸売業,3,5
2651,ローソン,小売業,5,5
2692,伊藤忠食品,卸売業,3,5
2702,日本マクドナルドホールディングス,小売業,3,5
2752,フジオフードグループ本社,小売業,0,3
2764,ひらまつ,小売業,2,1
2768,双日,卸売業,4,5
3004,神栄,卸売業,3,3
3038,神戸物産,卸売業,2,5
3057,ゼットン,小売業,2,2
3086,Ｊ．フロント  リテイリング,小売業,5,5
3096,オーシャンシステム,小売業,3,3
3137,ファンデリー,小売業,0,2
3178,チムニー,小売業,1,1
3182,オイシックス?ラ?大地,小売業,2,4
3382,セブン＆アイ?ホールディングス,小売業,5,5
3397,トリドールホールディングス,小売業,3,4
7475,アルビス,小売業,0,4
7520,エコス,小売業,0,4
7522,ワタミ,小売業,4,3
7532,パン?パシフィック?インターナショナルホールディングス,小売業,4,5
7630,壱番屋,小売業,0,4
8001,伊藤忠商事,卸売業,5,5
8002,丸紅,卸売業,4,5
8043,スターゼン,卸売業,3,4
8142,トーホー,卸売業,3,4
8153,モスフードサービス,卸売業,4,3
8163,ＳＲＳホールディングス,小売業,3,3
8167,リテールパートナーズ,小売業,3,4
8179,ロイヤルホールディングス,小売業,3,3
8190,ヤマナカ,小売業,3,4
8198,マックスバリュ東海,小売業,2,4
8225,タカチホ,卸売業,2,2
8228,マルイチ産商,卸売業,3,4
8255,アクシアル  リテイリング,小売業,4,4
8267,イオン,小売業,5,5
8273,イズミ,小売業,3,5
8276,平和堂,小売業,4,5
8279,ヤオコー,小売業,0,5
8287,マックスバリュ西日本,小売業,3,5
9810,日鉄物産,卸売業,3,5
9823,マミーマート,小売業,2,4
9829,ながの東急百貨店,小売業,3,2
9869,加藤産業,卸売業,3,5
9873,日本ＫＦＣホールディングス,小売業,3,4
9942,ジョイフル,小売業,0,2
9945,プレナス,小売業,0,4
7953,(株)ファミリーマート,小売業,5,5
2421,(株)ユニバース,小売業,3,5